Gm7579	ENSMUSG00000073786.1		OTTMUSG00000048009.3
Sema4a	ENSMUSG00000028064.17		OTTMUSG00000021258.5
Myorg	ENSMUSG00000046312.4		OTTMUSG00000006655.3
Gm29148	ENSMUSG00000099742.1		OTTMUSG00000046573.1
Gm48599	ENSMUSG00000112559.1		OTTMUSG00000065297.1
Olfr562-ps1	ENSMUSG00000110122.1		OTTMUSG00000060057.1
Ccdc34	ENSMUSG00000027160.16		OTTMUSG00000015056.3
Naip3-ps1	ENSMUSG00000114576.1		OTTMUSG00000067768.1
Gm48253	ENSMUSG00000113316.1		OTTMUSG00000066571.1
Nhlrc3	ENSMUSG00000042997.13		OTTMUSG00000022219.4
Gm50408	ENSMUSG00000118299.1		OTTMUSG00000073518.1
Gm43360	ENSMUSG00000105970.1		OTTMUSG00000054518.1
Gm26296	ENSMUSG00000095792.1		
Plgrkt	ENSMUSG00000016495.12		OTTMUSG00000033020.3
Gm3028	ENSMUSG00000111572.1		OTTMUSG00000062441.1
P2ry10b	ENSMUSG00000054293.10		OTTMUSG00000018159.3
Cnksr3	ENSMUSG00000015202.13		OTTMUSG00000023573.1
Gm42940	ENSMUSG00000106025.1		OTTMUSG00000054475.1
Ccdc74a	ENSMUSG00000041617.10		OTTMUSG00000044408.3
Gm20863	ENSMUSG00000099736.1		OTTMUSG00000046835.1
AC192334.1	ENSMUSG00000118427.1		OTTMUSG00000074743.1
Gm12140	ENSMUSG00000081112.1		OTTMUSG00000005440.1
Tex264	ENSMUSG00000040813.16		OTTMUSG00000049427.7
Hoxc4	ENSMUSG00000075394.4		OTTMUSG00000035136.4
Cit	ENSMUSG00000029516.19		OTTMUSG00000014714.10
Gm8274	ENSMUSG00000112196.1		OTTMUSG00000064681.1
Gm24438	ENSMUSG00000088518.1		
Spata31d1b	ENSMUSG00000091311.3		OTTMUSG00000068452.1
Ilvbl	ENSMUSG00000032763.11		OTTMUSG00000064338.1
Gm22747	ENSMUSG00000064429.1		
Gm15596	ENSMUSG00000082289.1		OTTMUSG00000024175.1
Gm38044	ENSMUSG00000104294.1		OTTMUSG00000051373.1
Gm11198	ENSMUSG00000082304.1		OTTMUSG00000000165.1
Gm29650	ENSMUSG00000099876.1		OTTMUSG00000045278.1
Stk16	ENSMUSG00000026201.12		OTTMUSG00000029626.4
8030423F21Rik	ENSMUSG00000052295.4		OTTMUSG00000042403.2
5330413P13Rik	ENSMUSG00000086822.2		OTTMUSG00000016189.2
Gm37055	ENSMUSG00000102755.1		OTTMUSG00000050905.1
Gm15951	ENSMUSG00000081301.1		OTTMUSG00000028161.1
Gm12427	ENSMUSG00000083222.1		OTTMUSG00000006788.1
Rnasel	ENSMUSG00000066800.11		OTTMUSG00000043573.5
Eif5a2	ENSMUSG00000050192.8		OTTMUSG00000051221.2
Gm27014	ENSMUSG00000098026.2		OTTMUSG00000043319.2
Ighv1-5	ENSMUSG00000096499.2		OTTMUSG00000051962.2
Apopt1	ENSMUSG00000037787.14		OTTMUSG00000028787.3
Gm19207	ENSMUSG00000115112.1		OTTMUSG00000070068.1
Gm38331	ENSMUSG00000103636.1		OTTMUSG00000050417.1
Gm46541	ENSMUSG00000116662.1		OTTMUSG00000071554.1
Gm43768	ENSMUSG00000105412.1		OTTMUSG00000052208.1
Gm29477	ENSMUSG00000101258.1		OTTMUSG00000046866.1
Gm50094	ENSMUSG00000117600.1		OTTMUSG00000073083.1
Gm35909	ENSMUSG00000115386.1		OTTMUSG00000069574.1
Gm23310	ENSMUSG00000096454.1		
Gm50239	ENSMUSG00000118066.1		OTTMUSG00000074103.1
Kdm5c	ENSMUSG00000025332.14		OTTMUSG00000017219.2
Gm21728	ENSMUSG00000099834.1		OTTMUSG00000046737.1
Gm36236	ENSMUSG00000113774.1		OTTMUSG00000066982.1
Scn2b	ENSMUSG00000070304.12		OTTMUSG00000063452.1
Hpf1	ENSMUSG00000038005.15		OTTMUSG00000031399.2
Aqp5	ENSMUSG00000044217.17		OTTMUSG00000071102.1
Gm21840	ENSMUSG00000101883.1		OTTMUSG00000048474.1
