NTSR2	ENSG00000169006.7	HGNC:8040	OTTHUMG00000119083.3
C2orf88	ENSG00000187699.10	HGNC:28191	OTTHUMG00000154361.3
COX6CP1	ENSG00000260318.1	HGNC:2286	OTTHUMG00000172958.1
SMG1P4	ENSG00000185710.9	HGNC:49861	OTTHUMG00000164330.2
DYNC1LI2	ENSG00000135720.13	HGNC:2966	OTTHUMG00000137523.7
RPS3AP1	ENSG00000233206.1	HGNC:10422	OTTHUMG00000078061.1
AC003685.2	ENSG00000231619.1		OTTHUMG00000021109.1
AC021146.9	ENSG00000251424.1		OTTHUMG00000161510.1
SLC8A1-AS1	ENSG00000227028.6	HGNC:44102	OTTHUMG00000152308.5
NKX2-1-AS1	ENSG00000253563.2	HGNC:40585	OTTHUMG00000163889.2
C19orf53	ENSG00000104979.9	HGNC:24991	OTTHUMG00000180914.2
RN7SKP57	ENSG00000253057.1	HGNC:45781	
AL136419.1	ENSG00000285467.1		OTTHUMG00000192522.1
CEP44	ENSG00000164118.13	HGNC:29356	OTTHUMG00000160752.4
IGLCOR22-1	ENSG00000254127.1	HGNC:15696	OTTHUMG00000030375.2
RNU6-1333P	ENSG00000251971.1	HGNC:48296	
AC083923.1	ENSG00000253543.1		OTTHUMG00000165060.1
AC004241.3	ENSG00000276390.1		OTTHUMG00000187397.1
CEL	ENSG00000170835.14	HGNC:1848	OTTHUMG00000020855.1
AOC1	ENSG00000002726.20	HGNC:80	OTTHUMG00000158306.2
AL021808.1	ENSG00000270935.1		OTTHUMG00000184545.1
UTP15	ENSG00000164338.10	HGNC:25758	OTTHUMG00000162453.4
AC008453.1	ENSG00000250309.2		OTTHUMG00000165097.1
AC084335.1	ENSG00000286976.1		OTTHUMG00000195024.1
LINC01249	ENSG00000231532.6	HGNC:49843	OTTHUMG00000151581.5
PTPN2P2	ENSG00000224117.1	HGNC:9654	OTTHUMG00000016674.1
AC022880.1	ENSG00000255413.1		OTTHUMG00000165487.1
MIR3167	ENSG00000266215.1	HGNC:38242	
AC106821.2	ENSG00000286238.1		OTTHUMG00000193004.1
SLAMF6P1	ENSG00000227243.3	HGNC:32012	OTTHUMG00000031372.2
RNU2-27P	ENSG00000251994.1	HGNC:48520	
AL357153.3	ENSG00000259115.1		OTTHUMG00000171330.1
AP006193.1	ENSG00000237982.1		OTTHUMG00000156004.1
AC027277.2	ENSG00000260310.1		OTTHUMG00000177104.1
HNRNPA1P59	ENSG00000230280.2	HGNC:48789	OTTHUMG00000041398.2
EBF3	ENSG00000108001.13	HGNC:19087	OTTHUMG00000019265.3
FAM47C	ENSG00000198173.4	HGNC:25301	OTTHUMG00000024025.1
TRPC5OS	ENSG00000204025.7	HGNC:40593	OTTHUMG00000022211.3
SLFN12	ENSG00000172123.12	HGNC:25500	OTTHUMG00000132952.3
RNU4-46P	ENSG00000222750.1	HGNC:46982	
AL360268.1	ENSG00000230536.1		OTTHUMG00000020728.1
PVR	ENSG00000073008.15	HGNC:9705	OTTHUMG00000151527.5
MLKL	ENSG00000168404.13	HGNC:26617	OTTHUMG00000177356.7
THRA1/BTR	ENSG00000235300.4		OTTHUMG00000132087.3
CENPS-CORT	ENSG00000251503.8	HGNC:38843	OTTHUMG00000162436.4
LINC00609	ENSG00000257585.1	HGNC:43960	OTTHUMG00000170616.1
AC010528.1	ENSG00000260983.2		OTTHUMG00000177032.2
AQP4-AS1	ENSG00000260372.7	HGNC:26399	OTTHUMG00000131954.10
TSSK1B	ENSG00000212122.4	HGNC:14968	OTTHUMG00000128835.3
SLFN14	ENSG00000236320.3	HGNC:32689	OTTHUMG00000179912.1
MIR1272	ENSG00000221033.1	HGNC:35339	
SIRPB3P	ENSG00000223750.1	HGNC:49209	OTTHUMG00000031678.2
Y_RNA	ENSG00000202438.1		
NRAP	ENSG00000197893.13	HGNC:7988	OTTHUMG00000019072.2
RNU6-298P	ENSG00000212190.1	HGNC:47261	
AC093801.2	ENSG00000248480.1		OTTHUMG00000160732.1
AC013726.1	ENSG00000259793.1		OTTHUMG00000176291.1
TMEM267	ENSG00000151881.14	HGNC:26139	OTTHUMG00000131150.3
RNU6-216P	ENSG00000200152.1	HGNC:47179	
LZIC	ENSG00000162441.12	HGNC:17497	OTTHUMG00000001804.4
TPK1	ENSG00000196511.14	HGNC:17358	OTTHUMG00000152774.11
ZC3H18	ENSG00000158545.15	HGNC:25091	OTTHUMG00000137679.8
S1PR2	ENSG00000267534.4	HGNC:3169	OTTHUMG00000180399.3
LRRC24	ENSG00000254402.7	HGNC:28947	OTTHUMG00000165180.3
HMGN2P41	ENSG00000261620.1	HGNC:39412	OTTHUMG00000176023.1
Z98259.1	ENSG00000260972.1		OTTHUMG00000175733.1
AC097658.3	ENSG00000286771.1		OTTHUMG00000195488.1
MAP1LC3B	ENSG00000140941.14	HGNC:13352	OTTHUMG00000137654.6
AL354872.2	ENSG00000271992.1		OTTHUMG00000185818.1
SLC4A1APP1	ENSG00000232060.3	HGNC:49811	OTTHUMG00000019728.2
AC005332.5	ENSG00000277476.1		OTTHUMG00000186695.2
TRAPPC9	ENSG00000167632.16	HGNC:30832	OTTHUMG00000164187.10
UBBP4	ENSG00000263563.6	HGNC:12467	OTTHUMG00000179059.5
MIR6843	ENSG00000284280.1	HGNC:50240	
DNAH3	ENSG00000158486.13	HGNC:2949	OTTHUMG00000090677.3
NRXN3	ENSG00000021645.18	HGNC:8010	OTTHUMG00000171502.6
TNFRSF14-AS1	ENSG00000238164.6	HGNC:26966	OTTHUMG00000000818.3
Z84486.1	ENSG00000287974.1		OTTHUMG00000194976.1
ANAPC5	ENSG00000089053.13	HGNC:15713	OTTHUMG00000169157.4
AC117465.1	ENSG00000226782.2		OTTHUMG00000157252.1
GH1	ENSG00000259384.7	HGNC:4261	OTTHUMG00000193348.2
IGHV1OR15-9	ENSG00000188403.7	HGNC:5569	OTTHUMG00000171652.5
AC006504.5	ENSG00000267575.7		OTTHUMG00000185849.20
RN7SL494P	ENSG00000241175.3	HGNC:46510	
AC103855.4	ENSG00000255519.1		OTTHUMG00000166511.1
AC011752.1	ENSG00000231204.7		OTTHUMG00000151793.6
AC006210.1	ENSG00000223391.2		OTTHUMG00000021301.2
KRT8P29	ENSG00000236430.1	HGNC:33381	OTTHUMG00000036051.1
Y_RNA	ENSG00000252115.1		
BCL2L2-PABPN1	ENSG00000258643.5	HGNC:42959	OTTHUMG00000171498.2
LEFTY1	ENSG00000243709.1	HGNC:6552	OTTHUMG00000037443.5
IGKV3D-25	ENSG00000254097.1	HGNC:5826	OTTHUMG00000151609.1
